time,TSI
1948-12-15,1361.8416
1949-01-15,1362.0123
1949-02-15,1361.6407
1949-03-15,1362.0219
1949-04-15,1362.6006
1949-05-15,1362.455
1949-06-15,1362.2051
1949-07-15,1362.1616
1949-08-15,1361.9465
1949-09-15,1362.1908
1949-10-15,1362.2595
1949-11-15,1362.125
1949-12-15,1362.319
1950-01-15,1362.1439
1950-02-15,1361.7435
1950-03-15,1361.9819
1950-04-15,1361.5767
1950-05-15,1362.0938
1950-06-15,1362.0475
1950-07-15,1361.8904
1950-08-15,1361.8701
1950-09-15,1361.9282
1950-10-15,1361.796
1950-11-15,1361.6483
1950-12-15,1361.7068
1951-01-15,1361.6259
1951-02-15,1361.8552
1951-03-15,1361.7572
1951-04-15,1361.513
1951-05-15,1361.1422
1951-06-15,1361.4565
1951-07-15,1362.0287
1951-08-15,1361.8485
1951-09-15,1361.7087
1951-10-15,1361.6986
1951-11-15,1361.6842
1951-12-15,1361.5325
1952-01-15,1361.5629
1952-02-15,1361.4733
1952-03-15,1361.4598
1952-04-15,1361.4447
1952-05-15,1361.5026
1952-06-15,1361.506
1952-07-15,1361.4337
1952-08-15,1361.5742
1952-09-15,1361.6304
1952-10-15,1361.4473
1952-11-15,1361.27
1952-12-15,1361.351
1953-01-15,1361.461
1953-02-15,1361.422
1953-03-15,1361.331
1953-04-15,1361.253
1953-05-15,1361.3883
1953-06-15,1361.3853
1953-07-15,1361.358
1953-08-15,1361.3219
1953-09-15,1361.3926
1953-10-15,1361.3629
1953-11-15,1361.2706
1953-12-15,1361.225
1954-01-15,1361.2688
1954-02-15,1361.268
1954-03-15,1361.1941
1954-04-15,1361.2755
1954-05-15,1361.2675
1954-06-15,1361.2582
1954-07-15,1361.2548
1954-08-15,1361.2565
1954-09-15,1361.2999
1954-10-15,1361.3286
1954-11-15,1361.3148
1954-12-15,1361.3097
1955-01-15,1361.2178
1955-02-15,1361.3527
1955-03-15,1361.4095
1955-04-15,1361.3977
1955-05-15,1361.3247
1955-06-15,1361.346
1955-07-15,1361.498
1955-08-15,1361.3887
1955-09-15,1361.5599
1955-10-15,1361.4622
1955-11-15,1361.4468
1955-12-15,1361.7933
1956-01-15,1361.6981
1956-02-15,1361.3638
1956-03-15,1361.9045
1956-04-15,1362.1929
1956-05-15,1361.7933
1956-06-15,1361.9967
1956-07-15,1361.9254
1956-08-15,1361.7776
1956-09-15,1362.191
1956-10-15,1362.443
1956-11-15,1362.0168
1956-12-15,1362.3947
1957-01-15,1362.8168
1957-02-15,1362.7411
1957-03-15,1362.4327
1957-04-15,1362.4178
1957-05-15,1362.2208
1957-06-15,1361.9152
1957-07-15,1362.4283
1957-08-15,1362.5094
1957-09-15,1361.9077
1957-10-15,1362.3375
1957-11-15,1363.0133
1957-12-15,1362.4686
1958-01-15,1362.8154
1958-02-15,1362.5168
1958-03-15,1361.8557
1958-04-15,1362.2704
1958-05-15,1362.5632
1958-06-15,1362.5243
1958-07-15,1362.0953
1958-08-15,1362.4133
1958-09-15,1362.3784
1958-10-15,1362.6594
1958-11-15,1362.6675
1958-12-15,1362.1056
1959-01-15,1361.8129
1959-02-15,1362.6514
1959-03-15,1361.9777
1959-04-15,1362.3389
1959-05-15,1362.1609
1959-06-15,1362.096
1959-07-15,1362.1787
1959-08-15,1361.8456
1959-09-15,1362.2888
1959-10-15,1362.2427
1959-11-15,1361.8425
1959-12-15,1361.776
1960-01-15,1361.96
1960-02-15,1362.1581
1960-03-15,1362.0981
1960-04-15,1361.8293
1960-05-15,1361.8043
1960-06-15,1362.118
1960-07-15,1361.8435
1960-08-15,1361.7975
1960-09-15,1362.1191
1960-10-15,1361.9889
1960-11-15,1361.7393
1960-12-15,1361.8734
1961-01-15,1361.7827
1961-02-15,1361.7361
1961-03-15,1361.5942
1961-04-15,1361.5234
1961-05-15,1361.581
1961-06-15,1361.4086
1961-07-15,1361.3933
1961-08-15,1361.684
1961-09-15,1361.4077
1961-10-15,1361.6146
1961-11-15,1361.5118
1961-12-15,1361.4519
1962-01-15,1361.3217
1962-02-15,1361.306
1962-03-15,1361.4727
1962-04-15,1361.4404
1962-05-15,1361.3961
1962-06-15,1361.4811
1962-07-15,1361.42
1962-08-15,1361.3688
1962-09-15,1361.181
1962-10-15,1361.3514
1962-11-15,1361.3788
1962-12-15,1361.38
1963-01-15,1361.3417
1963-02-15,1361.3456
1963-03-15,1361.3553
1963-04-15,1361.2782
1963-05-15,1361.2596
1963-06-15,1361.3296
1963-07-15,1361.3809
1963-08-15,1361.2981
1963-09-15,1361.1469
1963-10-15,1361.2758
1963-11-15,1361.3938
1963-12-15,1361.39
1964-01-15,1361.3055
1964-02-15,1361.2924
1964-03-15,1361.29
1964-04-15,1361.3284
1964-05-15,1361.2941
1964-06-15,1361.2861
1964-07-15,1361.2771
1964-08-15,1361.275
1964-09-15,1361.2942
1964-10-15,1361.3096
1964-11-15,1361.3038
1964-12-15,1361.3055
1965-01-15,1361.3057
1965-02-15,1361.294
1965-03-15,1361.3223
1965-04-15,1361.3228
1965-05-15,1361.3002
1965-06-15,1361.3771
